Absolute Magnitude,Est Dia in KM(min),Est Dia in KM(max),Est Dia in M(min),Est Dia in M(max),Est Dia in Miles(min),Est Dia in Miles(max),Est Dia in Feet(min),Est Dia in Feet(max),Relative Velocity km per sec,Relative Velocity km per hr,Miles per hour,Miss Dist.(Astronomical),Miss Dist.(lunar),Miss Dist.(kilometers),Miss Dist.(miles),Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Epoch Osculation,Eccentricity,Semi Major Axis,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion
20.4,0.2210828104,0.4943561926,221.0828103591,494.3561926196,0.137374447,0.3071786018,725.3373275385,1621.9035709942,7.6420816987,27511.4941152624,17094.5725517862,0.1359319088,52.8775138855,20335124.0,12635660.0,1,0.0311462,6.867,2458000.5,0.1926426222105336,0.8553588787643515,9.834617742563426,263.2779736491007,288.9488554643783,0.6905803014281249,10.53439141984141,1.020137456100578,2457942.726287002,71.97999329549448,1.245895227449277
23.6,0.0506471459,0.1132504611,50.6471458835,113.2504610618,0.0314706677,0.0703705522,166.1651821003,371.5566426699,13.687359134,49274.4928824536,30617.2536468779,0.332116623,129.1933746338,49683940.0,30872170.0,7,0.0861491,5.954,2458000.5,0.1239925543832356,1.008238435439085,24.77533426614956,175.8704579198972,369.7799001578682,0.8832243764016361,320.1370432840499,1.133252494476534,2458175.427502637,189.6989616732073,0.9735521044986682
20.8,0.1838886721,0.411187571,183.8886720703,411.1875710413,0.1142630881,0.2555000322,603.309310875,1349.040630575,8.7688477757,31567.8519924054,19615.0355893921,0.0461487703,17.9518718719,6903757.5,4289796.0,0,0.0441545,4.884,2458000.5,0.272123617932279,1.322796951793477,11.55080657688733,132.8617040107504,555.6971956114696,0.962832659481646,50.20506585788244,1.682761244105309,2457731.1235283366,174.5114615737722,0.6478348331484176
25.3,0.0231502122,0.0517654482,23.150212221,51.7654482198,0.0143848705,0.0321655483,75.9521422633,169.8341531374,6.4201770471,23112.6373694234,14361.2940365731,0.0973511658,37.8696022034,14563527.0,9049356.0,8,0.095969,3.221,2456922.5,0.5609827105324311,2.506961132288822,4.593512794969431,0.2024367065781433,1449.839167233479,1.100599281097986,355.4397418863649,3.913322983479659,2456918.2088273074,1.065512785289725,0.2483034036712752
23.4,0.0555334912,0.1241766613,55.5334911581,124.1766612574,0.0345069009,0.0771597762,182.1964991311,407.4037573197,9.4250691239,33930.2488461412,21082.9371233148,0.140453586,54.6364479065,21011558.0,13055977.0,6,0.140935,4.367,2458000.5,0.3515113995567863,1.540759634434475,13.74634388500348,294.6039637662532,698.5552564873672,0.9991650589538106,110.8789695545876,2.08235420991514,2458337.992703784,186.0733532047623,0.515349353765131
19.0,0.4212646106,0.9419763057,421.2646105562,941.9763057186,0.2617616123,0.5853167591,1382.1017848971,3090.4735428537,21.0606677961,75818.404065856,47110.6077930314,0.3446016443,134.0500335693,51551672.0,32032724.0,0,0.145075,4.385,2458000.5,0.4727131956536391,1.507920908906379,10.0526071786867,16.84008777859977,676.3418664725997,0.7951067972643047,356.5116194296238,2.220735020548454,2457884.163552977,61.92300522004751,0.5322751966805599
26.9,0.0110803882,0.0247765013,11.0803882126,24.7765012606,0.0068850319,0.0153953994,36.3529808636,81.2877363957,19.0478301509,68572.188543069,42608.091264442,0.3515154787,136.7395172119,52585968.0,32675404.0,7,0.00537288,3.769,2458000.5,0.5004758236402036,1.911474874593589,4.283899945802764,161.682021617258,965.2755760736874,0.9548279123638076,31.48132035148402,2.86812183682337,2458440.558466267,195.8799789584668,0.37295049095132
17.3,0.9216265485,2.0608196123,921.6265485028,2060.8196123208,0.5726720101,1.2805335433,3023.70924539,6761.2194168867,26.0653736176,93835.3450235278,58305.6342453137,0.4956372213,192.8028717041,74146272.0,46072356.0,0,0.375572,4.984,2458000.5,0.5036969192312907,1.234758600037682,23.89340173752436,312.4480961375718,501.1543638808701,0.6128144972043599,348.4316193993977,1.856702702871003,2457967.29494744,23.85256875539582,0.7183415449328022
21.8,0.1160259082,0.2594418179,116.0259082094,259.4418179074,0.0720951346,0.1612096218,380.6624406898,851.1870938635,9.7057630263,34940.7468946785,21710.8213135295,0.2310316429,89.871307373,34561840.0,21475732.0,2,0.218889,6.174,2458000.5,0.3104755296624382,0.9667191847784796,14.8794515973558,205.1788195743418,347.1753906935307,0.6665765338495407,1.333842517057521,1.266861835707419,2458041.0223217607,317.9807894657744,1.036939857058562
24.7,0.0305179233,0.0682401509,30.5179232594,68.2401509401,0.0189629525,0.0424024508,100.1244233463,223.8850168104,7.2228230538,26002.1629937288,16156.7328890756,0.1555872724,60.5234489441,23275524.0,14462740.0,8,0.154374,4.382,2457363.5,0.266255703740422,1.549600636545812,13.30798062891269,73.27717857978085,704.5764223438533,1.137010628545701,10.22810481529254,1.962190644545923,2457374.3078484633,354.4777808007844,0.5109452836960101
